# MAP0 WAYPOINTS TAKEN FROM uo-offline. NOT SHARD DATA.
#
# Source: reference/uo-offline/playerbots/data/Destinations/destinations.json
# Extracted 2026-08-29. 317 of that file's 448 entries.
#
# WHY THESE AND NOT THE REST. uo-offline's file mixes two very different
# things. Its vendor, bank, inn and healer entries were EXPORTED FROM ITS OWN
# LIVE NPCs -- its header says so -- and vendor positions are a property of a
# shard's spawn scripts, not of the map. Importing those would point our bots
# at places our vendors are not. They are deliberately excluded.
#
# What IS here is map0 GEOMETRY, which is the same world on every shard:
# dungeon rooms, descends, ascends and entrances, docks, and moongates.
#
# STRUCTURAL CHECK PASSED, WALKABILITY NOT VERIFIED. 283 of the 293 dungeon
# points fall in map0's dungeon strip (x >= 5120) and the 10 that do not are
# overworld entrances, which is exactly the right shape; docks and moongates
# are all overworld. But NO check has been done that our own navgrid can stand
# on these tiles. Treat every row as a LEAD, the same way the atlas separates a
# hinted resource spot from an earned one -- a place worth trying, not a place
# known to work.
#
# Our own atlas already carries 15 dungeon ENTRANCES and no interior structure
# at all, which is the gap this fills: 'graduate to harder hunting' needs to
# know where the inside of a dungeon goes.
#
# name	type	x	y	z	city	nearest_waypoint
Dagger Landing	Dock	4213	541	0	Dagger Isle	Dagger Trail 1
Dock 114	Dock	1503	3695	-15	Jhelom	WP 907
Dock 115	Dock	1371	3900	-15	Jhelom	WP 947
Dock 117	Dock	3674	2291	-5	Magincia	WP 1240
Dock 118	Dock	3648	2666	-15	Magincia	WP 1036
Dock 130	Dock	3030	829	-15	Vesper	WP 779
Dock 48	Dock	2072	2856	-15	Trinsic	WP 197
Dock 63	Dock	1486	1757	0	Britain	britdock2 1
Dock 93	Dock	661	2236	-15	Skara Brae	WP 435
Dock 95	Dock	1512	3990	-15	Jhelom	WP 965
Fire Landing	Dock	2790	3432	0	Fire Isle	Fire Isle Trail 1
Humility Landing	Dock	4132	3692	0	Humility Isle	Humility Trail 1
Trinsic South Pier	Dock	2072	2848	-15	Trinsic	WP 197
Valor Landing	Dock	2392	3899	0	Valor Isle	Valor Trail 1
Verity Dock	Dock	4552	847	0	Moonglow	Verity Dock Trail 23
britdock 1	Dock	1438	1762	-2	Britain	britdock 2
Covetous lvl1b Exit Ascend	DungeonAscend	5388	2027	0		Covetous L1 WP 1
Covetous lvl1d Exit Ascend	DungeonAscend	5579	1927	0		Covetous L1 WP 1 C
Covetous lvl1e Exit Ascend	DungeonAscend	5393	1959	0		Covetous L1 WP 1 B
Covetous lvl1f Exit Ascend	DungeonAscend	5615	1997	0		Covetous L1 WP 3
Covetous lvl1g Exit Ascend	DungeonAscend	5456	1864	0		Covetous L1 WP 3 B
Deceit lvl1 Exit Ascend	DungeonAscend	5188	639	0		Deceit L1 WP 2
Deceit lvl2 Ascend to L4	DungeonAscend	5219	761	-28		Deceit L2 WP 4
Deceit lvl4 Passage to Despise	DungeonAscend	5265	683	0		Deceit L4 WP 2
Deceit lvl4 Passage to Fire	DungeonAscend	5265	669	0		Deceit L4 WP 1
Deceit lvl7 Ascend to L2	DungeonAscend	5346	578	5		Deceit L7 WP 1
Despise lvl1 Ascend to L1c	DungeonAscend	5522	673	32	Moonglow	despise1
Despise lvl1c Exit Ascend	DungeonAscend	5588	631	30	Britain	WP 1311
Despise lvl2b Ascend to L1c	DungeonAscend	5504	570	46		Despise L2 WP 4
Destard lvl1 Exit Ascend	DungeonAscend	5243	1007	0		Destard L1 WP 5
Destard lvl2 Ascend to L1	DungeonAscend	5144	797	22		Destard L2 WP 3
Fire lvl1 Exit Ascend	DungeonAscend	5687	1424	38		Fire L1 WP 2 B
Fire lvl1 Exit Ascend B	DungeonAscend	5900	1411	42		Fire L1 WP 8 B
Ice lvl1 Exit Ascend	DungeonAscend	5882	242	0		Ice L1 WP 12
Ice lvl2 Ascend to L1	DungeonAscend	5706	306	12		Ice L2 WP 3
Ice lvl2b Ascend to L1	DungeonAscend	5833	323	33		Ice L2 WP 3 B
Orc Cave lvl1 Exit Ascend	DungeonAscend	5139	2016	0		Orc Cave L1 WP 4
Shame lvl1 Exit Ascend	DungeonAscend	5395	127	0		Shame L1 WP 1
Shame lvl2 Ascend to L1	DungeonAscend	5514	10	5		Shame L2 WP 1
Shame lvl3 Ascend to L2	DungeonAscend	5514	147	25		Shame L3 WP 1
Terathan Keep lvl2b Ascend to L1	DungeonAscend	5140	1773	0		Terathan Keep L2 WP 1
Terathan Keep lvl3 Passage to Deceit	DungeonAscend	5356	1540	0		Terathan Keep L3 WP 1
Terathan Keep lvl3 Passage to Fire	DungeonAscend	5360	1540	0		Terathan Keep L3 WP 2
Wrong lvl1 Exit Ascend	DungeonAscend	5825	631	5		Wrong L1 WP 3
Wrong lvl2 Ascend to L1	DungeonAscend	5690	569	25		Wrong L2 WP 1
Wrong lvl2 Ascend to L1 B	DungeonAscend	5733	554	20		Wrong L2 WP 1 C
Covetous lvl2 Descend to L4	DungeonDescend	5466	1805	12		Covetous L2 WP 1
Covetous lvl3 Descend to L4	DungeonDescend	5552	1805	12		Covetous L3 WP 2
Covetous lvl4 Descend to L2	DungeonDescend	5594	1841	-8		Covetous L5 WP 3
Covetous lvl4 Descend to L3	DungeonDescend	5557	1826	-10		Covetous L4 WP 2
Deceit lvl2 Descend to L7	DungeonDescend	5137	649	5		Deceit L2 WP 1
Deceit lvl3 Descend to L5	DungeonDescend	5217	586	-13		Deceit L3 WP 2
Deceit lvl4 Descend to L2	DungeonDescend	5306	650	12		Deceit L6 WP 3
Deceit lvl5 Descend to L3	DungeonDescend	5305	532	7		Deceit L5 WP 3
Despise lvl1 Descend to L1b	DungeonDescend	5386	756	-8	Moonglow	WP 1348
Despise lvl1b Descend to L1	DungeonDescend	5409	859	52		Despise L1 WP 4
Despise lvl1b Passage to Destard	DungeonDescend	5506	814	60		Despise L1 WP 5
Despise lvl1b Passage to Terathan Keep	DungeonDescend	5506	817	60		Despise L1 WP 6
Despise lvl1c Descend to L1	DungeonDescend	5572	633	17	Moonglow	WP 1310
Despise lvl1c Descend to L2b	DungeonDescend	5573	629	42		Despise L1 WP 7 B
Destard lvl1 Descend to L2	DungeonDescend	5131	909	-28		Destard L1 WP 3
Destard lvl1b Descend to L2	DungeonDescend	5133	986	22		Destard L1 WP 3 B
Destard lvl1b Passage to Deceit	DungeonDescend	5140	973	0		Destard L1 WP 4 B
Destard lvl1b Passage to Terathan Keep	DungeonDescend	5145	973	0		Destard L1 WP 5 B
Destard lvl2 Descend to L1b	DungeonDescend	5153	810	-25		Destard L2 WP 7
Fire lvl1 Descend	DungeonDescend	5792	1416	41		Fire L1 WP 6
Fire lvl1 Descend to L2	DungeonDescend	5787	1335	-13		Fire L1 WP 3 B
Fire lvl1 Passage to Despise	DungeonDescend	5682	1440	0		Fire L1 WP 2
Fire lvl1 Passage to Destard	DungeonDescend	5682	1437	0		Fire L1 WP 1
Fire lvl2 Descend to L2	DungeonDescend	5690	1352	-26		Fire L2 WP 1
